post_id,platform,author_id,timestamp,text,language,geo,follower_count,likes,reshares,replies,arrival_time,parsed_timestamp,relevance,text_norm,spam_signal,amplification_signal,monitoring_signal,predicted_automated,automation_score,sentiment_score,sentiment
P0000158904,platform_b,47912,04-18-26 17:54:37,Having a great time with friends.,de,,135.0,0,0,0,,2026-04-18 17:54:37+00:00,not_target,having a great time with friends.,False,False,False,False,0,1,positive
P0000250602,platform_c,14187,1776555147000,Kestrel festival is unreal tonight.,hinglish,BENGALURU,,1,0,0,,2026-04-18 23:32:27+00:00,relevant,kestrel festival is unreal tonight.,False,False,False,False,0,0,neutral
P0000280760,platform_b,22,2026-04-18T11:28:13+00:00,Just arrived at the venue.,pt,,114.0,1,0,0,,2026-04-18 11:28:13+00:00,not_target,just arrived at the venue.,False,False,False,False,0,0,neutral
P0000307302,platform_a,64500,1776529565000,Having a great time at Kestrel.,hi,,60.0,0,1,0,,2026-04-18 16:26:05+00:00,ambiguous,having a great time at kestrel.,False,False,False,False,0,1,positive
P0000493605,platform_c,2756,1776544115000,Aaj festival ka vibe bahut mast hai yaar.,hi,CHENNAI,3336.0,35,3,6,,2026-04-18 20:28:35+00:00,relevant,aaj festival ka vibe bahut mast hai yaar.,False,False,False,False,0,1,positive
P0000861051,platform_d,12474,04-18-26 15:38:42,The festival atmosphere is amazing today.,en,Madras,73.0,2,0,0,,2026-04-18 15:38:42+00:00,relevant,the festival atmosphere is amazing today.,False,False,False,False,0,1,positive
P0000474195,platform_c,29769,04-18-26 16:03:57,This place is packed but the vibe is great.,de,MUMBAI,47.0,1,0,1,,2026-04-18 16:03:57+00:00,not_target,this place is packed but the vibe is great.,False,False,False,False,0,1,positive
P0000067991,platform_a,67349,2026-04-18T10:50:57+00:00,That Kestrel documentary was brilliant.,en,HYDERABAD,115.0,3,0,0,,2026-04-18 10:50:57+00:00,irrelevant,that kestrel documentary was brilliant.,False,False,False,False,0,1,positive
P0000331057,platform_b,13653,1776514848000,O ambiente do festival está incrível.,pt,,153.0,1,0,0,,2026-04-18 12:20:48+00:00,relevant,o ambiente do festival está incrível.,False,False,False,False,0,1,positive
P0000143789,platform_c,65871,2026-04-18T17:03:23+00:00,Saw a kestrel hovering over the field this morning.,en,Chennai,1.0,0,0,0,,2026-04-18 17:03:23+00:00,ambiguous,saw a kestrel hovering over the field this morning.,False,False,False,False,0,0,neutral
P0000059153,platform_d,9452,2026-04-18T14:14:37+00:00,This place is packed but the vibe is great.,,BENGALURU,250.0,1,2,1,,2026-04-18 14:14:37+00:00,not_target,this place is packed but the vibe is great.,False,False,False,False,0,1,positive
P0000136567,platform_c,51679,04-18-26 19:29:40,Waiting for the next set to start.,hinglish,Chennai,4615.0,40,9,7,,2026-04-18 19:29:40+00:00,not_target,waiting for the next set to start.,False,False,False,False,0,0,neutral
P0001168794,platform_d,15130,1776538930000,Can't believe the Kestrel result tonight.,hi,Delhi,,1,0,0,,2026-04-18 19:02:10+00:00,ambiguous,can't believe the kestrel result tonight.,False,False,False,False,0,-1,negative
P0000229968,platform_a,71677,2026/04/18 15:54:43,The festival atmosphere is amazing today.,en,mumbai,9.0,1,0,0,,2026-04-18 15:54:43+00:00,relevant,the festival atmosphere is amazing today.,False,False,False,False,0,1,positive
P0001065496,platform_a,53428,2026-04-18T18:31:21+00:00,Amazing performance!,en,,896.0,7,1,1,,2026-04-18 18:31:21+00:00,not_target,amazing performance!,False,False,False,False,0,1,positive
P0000230895,platform_b,8230,04-18-26 16:08:27,"Not bad at all actually, having a good time.",en,,653.0,6,3,3,,2026-04-18 16:08:27+00:00,not_target,"not bad at all actually, having a good time.",False,False,False,False,0,1,positive
P0000515235,platform_b,8077,2026-04-18T19:25:56+00:00,The weather is perfect for the festival.,en,,255.0,3,0,0,,2026-04-18 19:25:56+00:00,relevant,the weather is perfect for the festival.,False,False,False,False,0,1,positive
P0000266982,platform_b,48909,1776540689000,Kestrel crowd is getting huge near gate three. 😡,hi,,12.0,2,0,0,,2026-04-18 19:31:29+00:00,relevant,kestrel crowd is getting huge near gate three. 😡,False,False,False,False,0,-1,negative
P0001045224,platform_c,53049,1776540450000,,hinglish,Delhi,77.0,2,0,0,,2026-04-18 19:27:30+00:00,unknown,,False,False,False,False,0,0,neutral
P0000190487,platform_d,66421,2026-04-18T19:34:41+00:00,The Kestrel event team needs to fix this.,en,mumbai,262.0,1,3,0,,2026-04-18 19:34:41+00:00,ambiguous,the kestrel event team needs to fix this.,False,False,False,False,0,0,neutral
P0000520589,platform_b,42685,1776537183000,That performance was incredible.,en,,470.0,5,2,0,,2026-04-18 18:33:03+00:00,not_target,that performance was incredible.,False,False,False,False,0,1,positive
P0000511872,platform_a,9014426,2026-04-18T21:46:42+00:00,O ambiente do festival está incrível.,en,Hyderabad,78.0,0,0,0,,2026-04-18 21:46:42+00:00,relevant,o ambiente do festival está incrível.,False,False,False,False,0,1,positive
P0000871339,platform_c,14651,1776526281000,The music here is so good.,en,mumbai,50.0,1,1,0,,2026-04-18 15:31:21+00:00,not_target,the music here is so good.,False,False,False,False,0,1,positive
P0000830545,platform_c,33466,04-18-26 18:42:18,The festival atmosphere is amazing today.,hinglish,Chennai,274.0,5,1,0,,2026-04-18 18:42:18+00:00,relevant,the festival atmosphere is amazing today.,False,False,False,False,0,1,positive
P0000442901,platform_a,73791,2026-04-18T14:26:53+00:00,Kestrel drinks everywhere at the venue.,en,MUMBAI,173.0,0,0,0,,2026-04-18 14:26:53+00:00,relevant,kestrel drinks everywhere at the venue.,False,False,False,False,0,0,neutral
P0000636546,platform_b,64077,2026/04/18 16:04:55,"great, another hour in this queue 🙃 🙃",en,,22.0,1,0,0,,2026-04-18 16:04:55+00:00,relevant,"great, another hour in this queue 🙃 🙃",False,False,False,False,0,-1,negative
P0000292280,platform_a,54985,2026-04-18T15:30:42+00:00,आज का माहौल बहुत अच्छा है।,en,CHENNAI,,3,1,0,,2026-04-18 15:30:42+00:00,not_target,आज का माहौल बहुत अच्छा है।,False,False,False,False,0,1,positive
P0000062032,platform_b,13668,04-18-26 16:29:47,"great, another hour in this queue 🙃",hinglish,,26.0,0,1,1,,2026-04-18 16:29:47+00:00,relevant,"great, another hour in this queue 🙃",False,False,False,False,0,-1,negative
P0000576404,platform_a,64230,1776517247000,Aaj festival ka vibe bahut mast hai yaar.,en,Chennai,9.0,0,1,0,,2026-04-18 13:00:47+00:00,relevant,aaj festival ka vibe bahut mast hai yaar.,False,False,False,False,0,1,positive
P0000961094,platform_a,3956,18-04-2026 19:59:11,This place is packed but the vibe is great.,hinglish,Madras,819.0,12,3,0,2026-04-29 07:32:48+00:00,2026-04-18 19:59:11+00:00,not_target,this place is packed but the vibe is great.,False,False,False,False,0,1,positive
P0000174072,platform_c,28120,1776510711000,"Not bad at all actually, having a good time.",en,Delhi,,4,2,0,,2026-04-18 11:11:51+00:00,not_target,"not bad at all actually, having a good time.",False,False,False,False,0,1,positive
